Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,12-07-2024 21:17:11,12-07-2024 21:17:11,0.392s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""))",Chrome 126.0.0.0,,,12-07-2024 21:17:11,12-07-2024 21:17:12,0.530s,PASSED
"verifyElementText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 126.0.0.0,,,12-07-2024 21:17:12,12-07-2024 21:17:12,0.277s,PASSED
,,,,,,,
Test Cases/SauceDemo/ProductsPage/SelectMenu,Chrome 126.0.0.0,,,12-07-2024 21:17:12,12-07-2024 21:17:19,6.813s,PASSED
"callTestCase(findTestCase(""SauceDemo/Login""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,12-07-2024 21:17:12,12-07-2024 21:17:17,5.528s,PASSED
"click(findTestObject(""SauceDemo/HomePage/MenuButton""))",Chrome 126.0.0.0,,,12-07-2024 21:17:17,12-07-2024 21:17:18,0.320s,PASSED
"click(findTestObject(""SauceDemo/HomePage/AllItems""))",Chrome 126.0.0.0,,,12-07-2024 21:17:18,12-07-2024 21:17:18,0.335s,PASSED
"click(findTestObject(""SauceDemo/HomePage/CloseMenu""))",Chrome 126.0.0.0,,,12-07-2024 21:17:18,12-07-2024 21:17:19,0.562s,PASSED
,,,,,,,
Test Cases/SauceDemo/ProductsPage/SelectProduct,Chrome 126.0.0.0,,,12-07-2024 21:18:11,12-07-2024 21:18:34,23.244s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,12-07-2024 21:18:11,12-07-2024 21:18:11,0.796s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,12-07-2024 21:18:11,12-07-2024 21:18:13,1.356s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 126.0.0.0,,,12-07-2024 21:18:13,12-07-2024 21:18:14,1.205s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 126.0.0.0,,,12-07-2024 21:18:14,12-07-2024 21:18:14,0.383s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,12-07-2024 21:18:14,12-07-2024 21:18:15,0.355s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Sauce Labs Backpack""))",Chrome 126.0.0.0,,,12-07-2024 21:18:15,12-07-2024 21:18:15,0.485s,PASSED
"verifyElementText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Sauce Labs Backpack""), ""Sauce Labs Backpack"")",Chrome 126.0.0.0,,,12-07-2024 21:18:15,12-07-2024 21:18:34,18.645s,FAILED
